Entry,Film,Director,Leading actors,Year of cinema release,No of Oscars won,IMDB link,Country,Category
99,Butch Cassidy,George Roy Hill,"Katharine Ross, Paul Newman, Robert Redford",1969,4,http://www.imdb.com/title/tt0064115/,USA,Action
100,Where Eagles Dare,Brian G. Hutton,"Clint Eastwood, Mary Ure, Richard Burton",1968,,http://www.imdb.com/title/tt0065207/,USA,Action
101,The Incredibles,Brad Bird,"Craig T Nelson, Holly Hunter, Jason Lee, Samuel L Jackson",2004,2,http://www.imdb.com/title/tt0317705/,USA,Action
102,Andrei Rublev,Andrei Tarkovsky,"Anatoli Solonitsyn, Andrei Mikhalkov-Konchalovsky, Andrei Tarkovsky, Ivan Lapikov, Nikolai Grinko",1966,,http://www.imdb.com/title/tt0060107/,Soviet Union,Drama
103,Mulholland Dr,David Lynch,"Justin Theroux, Laura Harring, Naomi Watts",2001,,http://www.imdb.com/title/tt0166924/,France,Drama
104,LÍAtalante,Jean Vigo,"Dita Parlo, Jean Daste, Michel Simon",1934,,http://www.imdb.com/title/tt0024844/,France,Drama
105,Tokyo Story,Yasujiro Ozu,"Chieko Higashiyama, Chishu Ryu, Setsuko Hara, Toru Abu",1953,,http://www.imdb.com/title/tt0046438/,Japan,Drama
106,Citizen Kane,Orson Welles,"Dorothy Comingore, Everett Sloane, Joseph Cotten, Orson Welles",1941,1,http://www.imdb.com/title/tt0033467/,USA,Drama
107,A Clockwork Orange,Stanley Kubrick,"Adrienne Corri, Malcolm McDowell, Michael Bates, Patrick Magee, Warren Clarke",1971,,http://www.imdb.com/title/tt0066921/,USA,Drama
108,Days of Heaven,Terrence Malik,"Brooke Adams, Richard Gere, Sam Shepard",1978,1,http://www.imdb.com/title/tt0077405/,USA,Drama
109,Wild Strawberries,Ingmar Bergman,"Bibi Anderson, Bibi Andersson, Gunnar Bjornstrand, Ingrid Thulin, Victor Sjostrom",1957,,http://www.imdb.com/title/tt0050986/,Sweden,Drama
110,White Ribbon,Michael Haneke,"Burghart Klaussner, Christian Friedel, Josef Bierbichler, Susanne Lothar, Ulrich Tukur",2009,,http://www.imdb.com/title/tt1149362/,Germany,Drama
111,The Gospel According to St Matthew,Pier Paolo Pasolini,"Enrique Irazoqui, Margherita Caruso",1964,,http://www.imdb.com/title/tt0058715/,Italy,Drama
112,Aguirre Wrath of God,Werner Herzog,"Cecilia Rivera, Klaus Kinski, Ruy Guerra",1972,,http://www.imdb.com/title/tt0068182/,Germany,Drama
113,Pather Panchali,Satyajit Ray,"Kanu Bannerjee, Karuna Bannerjee, Uma Das Gupta",1955,,http://www.imdb.com/title/tt0048473/,India,Drama
114,The Conformist,Bernado Bertolucci,"Dominique Sanda, Gastone Moschin, Jean-Louis Trintignant, Louis Trintignant, Stefania Sandrelli",1970,,http://www.imdb.com/title/tt0065571/,Italy,Drama
115,Death in Venice,Luchino Visconti,"Bjorn Andresen, Dirk Bogarde, Marisa Berensen, Silvana Mangano",1971,,http://www.imdb.com/title/tt0067445/,Italy,Drama
116,The Godfather Parts I and II,Francis Ford Coppola,"Al Lettieri, Al Pacino, Diane Keaton, James Caan, John Cazale, Marlon Brando, Robert Duvall, Talia Shire",1972,9 altogether,http://www.imdb.com/title/tt0068646/,USA,Drama
117,The Graduate,Mike Nichols,"Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels",1967,1,http://www.imdb.com/title/tt0061722/,USA,Drama
118,There Will Be Blood,Paul Thomas Anderson,"Daniel Day Lewis, Daniel Day-Lewis, Dillon Freasier, Kevin J O'Connor, Paul Dano",2007,2,http://www.imdb.com/title/tt0469494/,USA,Drama
119,Battleship Potemkin,Sergei Eisenstein,"A Antonov, Alexandr Antonov, Grigori Alexandrov, Midhail Gomorov, Vladimir Barsky",1925,,http://www.imdb.com/title/tt0015648/,Soviet Union,Drama
120,Rules of the Game,Jean Renoir,"Nora Gregor, Paulette Dubost, Mila Parely.",1939,,http://www.imdb.com/title/tt0031885/,USA,Drama
121,Shadows,,,,,,,Drama
122,Distant Voices Still Lives,Terence davies,"Angela Walsh, Dean Williams, Freda Dowie, Lorraine Ashbourne, Pete Postlethwaite",1988,,http://www.imdb.com/title/tt0095037/,UK,Drama
123,Passion of Joan of Arc,Carl Theodor Dreyer,"Eugene Silvain, Maria Falconetti, Michael Simon, Michel Simon, Renee Falconetti",1928,,http://www.imdb.com/title/tt0019254/,France,Drama
124,La Dolce Vita,Federico Fellini,"Anita Ekberg, Anouk Aimee, Marcello Mastroianni",1960,1,http://www.imdb.com/title/tt0053779/,Italy,Drama
125,Breaking the Waves,Lars Von Trier,"Emily Watson, Katrin Cartlidge, Stellan Skarsgard",1996,,http://www.imdb.com/title/tt0115751/,Denmark,Drama
126,Spirit of the Beehive,Victor Erice,"Ana Torrent, Fernando Fernan, Fernando Fernan Gomez, Fernando Fernan Gomez, Isabel Telleria",1973,,http://www.imdb.com/title/tt0070040/,Spain,Drama
127,2001,Stanley Kubrick,"Daniel Richter, Gary Lockwood, Keir Dullea, William Sylvester",1968,1,http://www.imdb.com/title/tt0062622/,USA,Sci-fi
128,Metropolis,Fritz Lang,"Alfred Abel, Brigitte Helm, Gustav Frohlich, Gustav Fruhlich",1927,,http://www.imdb.com/title/tt0017136/,Germany,Sci-fi
129,Blade Runner,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young",1982,,http://www.imdb.com/title/tt0083658/,USA,Sci-fi
130,Alien,Ridley Scott,"Ian Holm, John Hurt, Sigourney Weaver, Tom Skerritt",1979,1,http://www.imdb.com/title/tt0078748/,USA,Sci-fi
131,The Wizard of Oz,Victor Fleming,"Bert Lahr, Frank Morgan, Jack Haley, Judy Garland, Ray Bolger",1939,2,http://www.imdb.com/title/tt0032138/,USA,Sci-fi
132,ET,Steven Spielberg,"Dee Wallace, Drew Barrymore, Henry Thomas, Peter Coyote",1982,4,http://www.imdb.com/title/tt0083866/,USA,Sci-fi
133,Solaris,Andrei Tarkovsky,"Donatas Banionis, Juri Jarvet, Nataly Bondarchuk, Natalya Bondarchuk",1972,,http://www.imdb.com/title/tt0069293/,USA,Sci-fi
134,Spirited Away,Hayao Miyazaki,"Daveigh Chase, Jason Marsden, Jason Marsdon, Mari Natsuki, Miyu Irino, Rumi Hiragi, Suzanne Pleshette",2001,1,http://www.imdb.com/title/tt0245429/,Japan,Sci-fi
135,Star Wars (1977),George Lucas,"Alec Guinness, Carrie Fisher, David Prowse, Harrison Ford, Mark Hamill, Peter Cushing, Peter Mayhew",1977,6,http://www.imdb.com/title/tt0076759/,USA,Sci-fi
136,Close Encounters,Steven Spielberg,"Melinda Dillon, Richard Dreyfuss",1977,1,http://www.imdb.com/title/tt0075860/,USA,Sci-fi
137,King Kong,"Ernest B Schoedsack, Merian C Cooper","Bruce Cabot, Ernest B Schoedsack, Fay Wray, Frank Reicher, James Flavin, John Armstrong, Noble Jhonson, Robert Armstrong",1933,,http://www.imdb.com/title/tt0024216/,USA,Sci-fi
138,Terminator/Terminator 2,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",1984/1991,4 altogether,http://www.imdb.com/title/tt0088247/,USA,Sci-fi
139,The Matrix,Andy & Larry Wachowski,"Carrie-Anne Moss, Keanu Reeves, Laurence Fishburne",1999,4,http://www.imdb.com/title/tt0133093/,USA,Sci-fi
140,Alphaville,Jean Luc-Godard,"Anna Karina, Eddie Constantine",1965,,http://www.imdb.com/title/tt0058898/,France,Sci-fi
141,Back to the Future,Robert Zemeckis,"Christopher Lloyd, Crispin Glover, Lea Thompson, Michael J Fox, Michael J. Fox",1985,1,http://www.imdb.com/title/tt0088763/,USA,Sci-fi
142,Planet of the Apes,Franklin J Schaffner,"Charlton Heston, Kim Hunter, Roddy McDowell",1968,1,http://www.imdb.com/title/tt0063442/,USA,Sci-fi
143,Brazil,Terry Gilliam,"Jonathan Pryce, Michael Palin, Robert De Niro",1985,,http://www.imdb.com/title/tt0088846/,UK,Sci-fi
144,The Lord of the Rings trilogy,Peter Jackson,"Cate Blanchett, Dominic Monaghan, Elijah Wood, Hugo Weaving, John Rhys-Davies, Liv Tyler, Miranda Otto, Orlando Bloom, Sean Astin, Sir Ian McKellen, Viggo Mortensen, William Boyd",2001-2003,17 altogether,http://www.imdb.com/title/tt0167260/,New Zealand,Sci-fi
145,Dark Star,John Carpenter,"Brian Narelle, Dan O'Bannon, Dre Pahich",1974,,http://www.imdb.com/title/tt0069945/,USA,Sci-fi
146,Day the Earth Stood Still,Robert Wise,"Hugh Marlowe, Lock Martin, Michael Rennie, Patricia Neal",1951,,http://www.imdb.com/title/tt0043456/,USA,Sci-fi
147,Edward Scissorhands,Tim Burton,"Dianne Wiest, Johnny Depp, Winona Ryder",1990,,http://www.imdb.com/title/tt0099487/,USA,Sci-fi
148,Akira,Katsuhiro Otomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tessho Genda",1988,,http://www.imdb.com/title/tt0094625/,Japan,Sci-fi
149,Princess Bride,Rob reiner,"Billy Crystal, Carty Elwes, Cary Elwes, Mandy Patinkin, Peter Falk, Robin Wright",1987,,http://www.imdb.com/title/tt0093779/,USA,Sci-fi
150,PanÍs Labyrinth,Guillermo del Toro,"Ariadna Gil, Doug Jones, Ivana Baquero, Maribel Verdu, Sergi Lopez",2006,3,http://www.imdb.com/title/tt0457430/,Spain,Sci-fi
151,Starship Troopers,Paul Verhoeven,"Casper Van Dien, Clancy Brown, Dina Meyer, Jake Busey, Michael Ironside",1997,,http://www.imdb.com/title/tt0120201/,USA,Sci-fi
152,Psycho,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles",1960,,http://www.imdb.com/title/tt0054215/,USA,Horror
153,RosemaryÍs Baby,Roman Polanski,"John Cassavetes, Mia Farrow, Ruth Gordon",1968,1,http://www.imdb.com/title/tt0063522/,USA,Horror
154,DonÍt Look Now,Nicholas Roeg,"Donald Sutherland, Hilary Mason, Julie Christie",1973,,http://www.imdb.com/title/tt0069995/,UK,Horror
155,The Wicker Man,Robin Hardy,"Britt Ekland, Christopher Lee, Edward Woodward",1973,,http://www.imdb.com/title/tt0070917/,UK,Horror
156,The Shining,Stanley Kubrick,"Danny Lloyd, Jack Nicholson, Shelley Duval",1980,,http://www.imdb.com/title/tt0081505/,USA,Horror
157,The Exorcist,William Friedkin,"Ellen Burstyn, Linda Blair, Max von Sydow",1973,2,http://www.imdb.com/title/tt0070047/,USA,Horror
158,Nosferatu (1922),FW Mernau,"Alexander Granach, Greta Schroder, Gustav von Wangenheim, Max Schreck",1922,,http://www.imdb.com/title/tt0013442/,Germany,Horror
159,Let the Right One In,Tomas Alfredson,"Henrik Dahl, Kare Hedebrant, Karin Bergquist, Lina Leandersson, Per Ragnar, Peter Carlberg",2008,,http://www.imdb.com/title/tt1139797/,Sweden,Horror
160,Vampyr,Carl Theodor Dreyer,"Henriette G_rard, Henriette Gerard, Julian West, Sybille Schmitz",1932,,http://www.imdb.com/title/tt0023649/,Germany,Horror
